ID,Case Number,Date,Primary Type,Location Description,Arrest,Domestic
100319,JC100319,04/28/2015 06:16:00 PM,ASSAULT,SIDEWALK,False,True
100320,JC100320,03/07/2018 04:58:00 AM,ROBBERY,STREET,True,False
100321,JC100321,10/29/2018 04:24:00 PM,ASSAULT,STREET,False,False
100322,JC100322,08/09/2015 05:16:00 PM,BURGLARY,SIDEWALK,True,True
100323,JC100323,09/03/2019 01:39:00 PM,NARCOTICS,PARKING LOT,False,False
100324,JC100324,03/16/2018 10:09:00 AM,NARCOTICS,PARKING LOT,True,True
100325,JC100325,03/27/2018 02:56:00 AM,THEFT,RESIDENCE,True,False
100326,JC100326,03/01/2019 08:25:00 PM,BURGLARY,APARTMENT,False,True
100327,JC100327,08/25/2019 04:10:00 PM,NARCOTICS,APARTMENT,True,False
100328,JC100328,02/20/2019 12:53:00 AM,ASSAULT,RESIDENCE,False,True
100329,JC100329,05/26/2017 11:21:00 AM,BURGLARY,SIDEWALK,True,False
100330,JC100330,06/10/2016 08:44:00 PM,NARCOTICS,SCHOOL,True,False
100331,JC100331,09/20/2019 10:43:00 PM,MOTOR VEHICLE THEFT,RESIDENCE,True,False
100332,JC100332,08/07/2015 09:22:00 PM,BATTERY,PARKING LOT,False,True
100333,JC100333,02/16/2018 05:24:00 PM,MOTOR VEHICLE THEFT,APARTMENT,True,False
100334,JC100334,09/02/2019 11:52:00 AM,THEFT,STREET,False,True
100335,JC100335,08/11/2016 06:13:00 AM,THEFT,SCHOOL,False,False
100336,JC100336,02/09/2018 11:46:00 AM,ASSAULT,SCHOOL,False,False
100337,JC100337,07/04/2017 06:52:00 AM,ASSAULT,APARTMENT,False,False
100338,JC100338,01/06/2019 04:14:00 PM,NARCOTICS,STREET,False,True
100339,JC100339,09/18/2019 03:53:00 AM,BATTERY,SIDEWALK,False,False
100340,JC100340,02/14/2018 01:59:00 AM,CRIMINAL DAMAGE,APARTMENT,True,False
100341,JC100341,06/16/2015 10:17:00 PM,ROBBERY,APARTMENT,False,False
100342,JC100342,10/27/2016 09:09:00 AM,BATTERY,SIDEWALK,True,False
100343,JC100343,06/24/2015 12:21:00 PM,MOTOR VEHICLE THEFT,SIDEWALK,True,True
100344,JC100344,12/07/2018 07:36:00 AM,ROBBERY,STREET,True,False
100345,JC100345,05/03/2018 07:34:00 AM,ASSAULT,APARTMENT,True,True
100346,JC100346,02/27/2019 04:43:00 AM,BATTERY,STREET,False,True
100347,JC100347,12/28/2019 02:01:00 AM,BURGLARY,RESIDENCE,True,False
100348,JC100348,02/22/2018 02:45:00 PM,BURGLARY,PARKING LOT,False,False
100349,JC100349,02/09/2017 04:48:00 PM,CRIMINAL DAMAGE,PARKING LOT,True,False
100350,JC100350,01/05/2018 12:45:00 PM,MOTOR VEHICLE THEFT,STREET,False,False
100351,JC100351,05/29/2017 05:53:00 PM,BURGLARY,SIDEWALK,False,False
100352,JC100352,08/01/2015 02:41:00 AM,NARCOTICS,SIDEWALK,False,False
100353,JC100353,04/01/2016 06:45:00 PM,MOTOR VEHICLE THEFT,SIDEWALK,False,True
100354,JC100354,10/31/2015 02:02:00 AM,MOTOR VEHICLE THEFT,STREET,False,False
100355,JC100355,06/18/2018 03:15:00 AM,BURGLARY,STREET,True,True
100356,JC100356,03/28/2017 05:51:00 PM,NARCOTICS,RESIDENCE,False,False
100357,JC100357,12/09/2016 09:26:00 PM,BATTERY,SIDEWALK,False,False
100358,JC100358,04/06/2017 04:58:00 PM,ASSAULT,APARTMENT,False,True
100359,JC100359,03/10/2017 10:40:00 PM,MOTOR VEHICLE THEFT,RESIDENCE,True,False
100360,JC100360,12/08/2018 01:58:00 AM,MOTOR VEHICLE THEFT,SIDEWALK,False,True
100361,JC100361,08/07/2017 07:05:00 PM,ROBBERY,SIDEWALK,True,False
100362,JC100362,08/18/2015 09:36:00 PM,MOTOR VEHICLE THEFT,APARTMENT,True,False
100363,JC100363,07/01/2018 10:01:00 PM,ASSAULT,SCHOOL,True,False
100364,JC100364,06/22/2019 08:02:00 AM,MOTOR VEHICLE THEFT,PARKING LOT,False,True
100365,JC100365,07/31/2016 09:08:00 AM,MOTOR VEHICLE THEFT,RESIDENCE,False,True
100366,JC100366,10/31/2019 12:28:00 PM,ROBBERY,SIDEWALK,False,True
100367,JC100367,06/08/2015 04:23:00 PM,ROBBERY,PARKING LOT,True,False
100368,JC100368,07/12/2017 02:03:00 PM,THEFT,STREET,True,True
100369,JC100369,10/06/2019 12:43:00 PM,MOTOR VEHICLE THEFT,RESIDENCE,True,True
100370,JC100370,06/06/2018 11:10:00 AM,BURGLARY,RESIDENCE,False,True
100371,JC100371,09/17/2015 01:14:00 PM,ROBBERY,SIDEWALK,False,False
100372,JC100372,06/22/2019 10:31:00 AM,ROBBERY,PARKING LOT,False,False
100373,JC100373,06/25/2019 06:01:00 PM,ASSAULT,PARKING LOT,True,True
100374,JC100374,03/30/2016 02:14:00 AM,BURGLARY,STREET,True,True
100375,JC100375,06/21/2019 01:56:00 AM,CRIMINAL DAMAGE,STREET,False,False
100376,JC100376,10/30/2019 04:33:00 PM,THEFT,APARTMENT,True,True
100377,JC100377,08/21/2019 10:24:00 PM,BURGLARY,SCHOOL,False,False
100378,JC100378,03/31/2019 10:41:00 PM,ROBBERY,PARKING LOT,True,True
100379,JC100379,10/10/2018 11:41:00 PM,BURGLARY,STREET,True,False
100380,JC100380,05/04/2017 11:35:00 PM,BURGLARY,APARTMENT,False,False
100381,JC100381,09/17/2018 10:31:00 AM,CRIMINAL DAMAGE,RESIDENCE,True,False
100382,JC100382,07/22/2017 10:43:00 PM,ROBBERY,SCHOOL,False,True
100383,JC100383,01/05/2015 08:02:00 PM,ASSAULT,PARKING LOT,True,True
100384,JC100384,04/25/2015 12:49:00 AM,CRIMINAL DAMAGE,SCHOOL,False,False
100385,JC100385,05/16/2017 07:18:00 AM,THEFT,SCHOOL,False,False
100386,JC100386,11/13/2018 04:32:00 AM,MOTOR VEHICLE THEFT,STREET,True,True
100387,JC100387,04/11/2018 11:39:00 PM,THEFT,PARKING LOT,False,True
100388,JC100388,01/05/2017 12:45:00 AM,BATTERY,RESIDENCE,True,True
100389,JC100389,01/07/2019 04:38:00 AM,MOTOR VEHICLE THEFT,RESIDENCE,False,False
100390,JC100390,09/13/2018 02:21:00 PM,ROBBERY,STREET,True,True
100391,JC100391,08/17/2017 07:14:00 PM,NARCOTICS,STREET,True,True
100392,JC100392,08/13/2018 07:29:00 PM,THEFT,RESIDENCE,False,False
100393,JC100393,06/26/2019 09:44:00 PM,ASSAULT,APARTMENT,False,True
100394,JC100394,11/18/2016 02:44:00 PM,THEFT,SIDEWALK,True,True
100395,JC100395,05/15/2018 08:47:00 AM,THEFT,APARTMENT,False,False
100396,JC100396,11/02/2016 12:36:00 AM,BATTERY,PARKING LOT,False,False
100397,JC100397,01/16/2015 04:39:00 PM,BURGLARY,SIDEWALK,False,False
100398,JC100398,08/10/2017 05:52:00 PM,THEFT,APARTMENT,False,True
100399,JC100399,05/05/2018 02:24:00 AM,CRIMINAL DAMAGE,SIDEWALK,True,True
100400,JC100400,12/11/2018 07:33:00 AM,NARCOTICS,APARTMENT,True,False
100401,JC100401,04/12/2015 08:44:00 AM,ASSAULT,STREET,True,True
100402,JC100402,04/13/2016 07:08:00 PM,BATTERY,APARTMENT,True,True
100403,JC100403,11/04/2018 08:22:00 PM,THEFT,PARKING LOT,True,False
100404,JC100404,12/18/2015 08:43:00 PM,CRIMINAL DAMAGE,APARTMENT,True,False
100405,JC100405,10/13/2018 09:18:00 PM,NARCOTICS,APARTMENT,True,True
100406,JC100406,03/11/2016 11:38:00 AM,MOTOR VEHICLE THEFT,PARKING LOT,False,False
100407,JC100407,01/21/2019 01:10:00 AM,NARCOTICS,RESIDENCE,True,False
100408,JC100408,02/25/2017 12:00:00 PM,ASSAULT,RESIDENCE,True,False
100409,JC100409,09/29/2017 08:39:00 AM,BATTERY,SCHOOL,False,False
100410,JC100410,11/15/2018 04:35:00 AM,MOTOR VEHICLE THEFT,STREET,True,False
100411,JC100411,04/24/2016 05:33:00 AM,MOTOR VEHICLE THEFT,RESIDENCE,False,True
100412,JC100412,09/03/2017 11:16:00 AM,BATTERY,APARTMENT,False,False
100413,JC100413,03/07/2017 01:03:00 PM,BURGLARY,PARKING LOT,True,False
100414,JC100414,03/23/2017 06:30:00 AM,BATTERY,APARTMENT,False,True
100415,JC100415,07/02/2016 07:41:00 AM,MOTOR VEHICLE THEFT,STREET,True,True
100416,JC100416,12/06/2016 09:41:00 AM,BURGLARY,SCHOOL,False,False
100417,JC100417,12/02/2015 02:23:00 AM,ASSAULT,RESIDENCE,False,False
100418,JC100418,02/23/2019 04:24:00 AM,ASSAULT,SIDEWALK,True,True
100419,JC100419,02/10/2019 12:31:00 PM,CRIMINAL DAMAGE,SIDEWALK,False,True
100420,JC100420,11/26/2018 05:32:00 AM,BATTERY,RESIDENCE,True,False
100421,JC100421,03/01/2019 02:36:00 PM,ASSAULT,RESIDENCE,True,True
100422,JC100422,01/26/2018 12:06:00 AM,BATTERY,PARKING LOT,False,False
100423,JC100423,01/10/2018 03:21:00 PM,THEFT,STREET,False,False
100424,JC100424,03/23/2018 05:37:00 AM,NARCOTICS,APARTMENT,True,True
100425,JC100425,02/27/2016 06:36:00 PM,BATTERY,SCHOOL,False,False
100426,JC100426,10/21/2018 08:20:00 PM,CRIMINAL DAMAGE,APARTMENT,True,True
100427,JC100427,10/14/2017 11:30:00 AM,ASSAULT,STREET,False,True
100428,JC100428,11/26/2019 12:13:00 PM,MOTOR VEHICLE THEFT,PARKING LOT,True,True
100429,JC100429,04/28/2017 12:11:00 AM,NARCOTICS,PARKING LOT,False,False
100430,JC100430,11/05/2015 02:22:00 PM,ASSAULT,SCHOOL,False,False
100431,JC100431,10/31/2017 01:26:00 PM,NARCOTICS,PARKING LOT,False,False
100432,JC100432,03/24/2016 02:10:00 PM,ASSAULT,APARTMENT,False,True
100433,JC100433,09/01/2015 03:00:00 AM,THEFT,RESIDENCE,True,True
100434,JC100434,10/14/2015 04:21:00 PM,BATTERY,PARKING LOT,False,False
100435,JC100435,06/09/2017 04:53:00 PM,BURGLARY,SIDEWALK,True,False
100436,JC100436,11/11/2017 09:40:00 PM,ASSAULT,RESIDENCE,False,False
100437,JC100437,01/09/2018 06:37:00 PM,BATTERY,SIDEWALK,True,False
100438,JC100438,12/08/2016 04:00:00 PM,BATTERY,APARTMENT,False,True
100439,JC100439,08/01/2018 08:03:00 AM,BATTERY,PARKING LOT,True,True
100440,JC100440,01/14/2017 08:00:00 AM,BURGLARY,SIDEWALK,False,True
100441,JC100441,12/06/2015 02:09:00 PM,THEFT,APARTMENT,True,True
100442,JC100442,04/18/2019 02:38:00 PM,THEFT,PARKING LOT,False,False
100443,JC100443,08/02/2015 07:05:00 PM,ROBBERY,SCHOOL,False,False
100444,JC100444,08/14/2016 04:36:00 PM,ASSAULT,RESIDENCE,True,True
100445,JC100445,02/04/2018 06:42:00 AM,ASSAULT,SIDEWALK,True,True
100446,JC100446,08/14/2016 10:06:00 AM,ASSAULT,APARTMENT,True,True
100447,JC100447,02/05/2017 02:47:00 PM,BATTERY,SIDEWALK,True,True
100448,JC100448,06/04/2019 11:43:00 PM,BATTERY,SIDEWALK,False,False
100449,JC100449,04/04/2019 04:26:00 PM,NARCOTICS,APARTMENT,True,False
100450,JC100450,01/11/2018 10:00:00 PM,ROBBERY,RESIDENCE,False,True
100451,JC100451,10/15/2017 02:35:00 PM,NARCOTICS,SIDEWALK,True,False
100452,JC100452,06/28/2015 07:49:00 AM,NARCOTICS,SCHOOL,True,False
100453,JC100453,01/31/2017 04:05:00 PM,NARCOTICS,PARKING LOT,False,False
100454,JC100454,12/11/2017 04:09:00 AM,CRIMINAL DAMAGE,RESIDENCE,True,False
100455,JC100455,07/28/2015 04:19:00 PM,NARCOTICS,PARKING LOT,True,False
100456,JC100456,04/08/2017 05:04:00 PM,ROBBERY,STREET,False,False
100457,JC100457,08/16/2017 04:16:00 AM,ASSAULT,RESIDENCE,False,True
100458,JC100458,07/02/2017 04:01:00 AM,NARCOTICS,STREET,False,True
100459,JC100459,03/01/2018 12:16:00 AM,MOTOR VEHICLE THEFT,PARKING LOT,True,True
100460,JC100460,04/24/2015 12:16:00 PM,ROBBERY,PARKING LOT,True,True
100461,JC100461,09/10/2016 06:35:00 PM,ASSAULT,RESIDENCE,True,True
100462,JC100462,03/13/2018 09:21:00 PM,MOTOR VEHICLE THEFT,SIDEWALK,True,True
100463,JC100463,02/20/2015 03:10:00 PM,NARCOTICS,PARKING LOT,True,True
100464,JC100464,08/20/2019 08:03:00 AM,THEFT,STREET,False,True
100465,JC100465,07/20/2019 04:51:00 AM,ROBBERY,RESIDENCE,True,False
100466,JC100466,11/29/2016 12:50:00 AM,NARCOTICS,APARTMENT,False,True
100467,JC100467,05/24/2017 02:45:00 PM,ASSAULT,SIDEWALK,False,True
100468,JC100468,09/26/2015 06:38:00 PM,BURGLARY,PARKING LOT,False,False
100469,JC100469,01/23/2017 02:20:00 PM,CRIMINAL DAMAGE,SIDEWALK,True,True
100470,JC100470,05/11/2019 05:43:00 PM,CRIMINAL DAMAGE,STREET,True,False
100471,JC100471,02/19/2015 01:14:00 PM,MOTOR VEHICLE THEFT,STREET,False,False
100472,JC100472,04/24/2015 06:37:00 AM,BATTERY,SIDEWALK,False,True
100473,JC100473,10/10/2015 11:29:00 PM,ROBBERY,PARKING LOT,False,True
100474,JC100474,11/01/2016 04:21:00 PM,MOTOR VEHICLE THEFT,APARTMENT,False,True
100475,JC100475,04/03/2017 10:10:00 AM,ROBBERY,SIDEWALK,True,False
100476,JC100476,10/15/2015 11:47:00 PM,CRIMINAL DAMAGE,SIDEWALK,True,True
100477,JC100477,02/04/2017 11:01:00 PM,BURGLARY,APARTMENT,True,False
100478,JC100478,02/13/2018 03:59:00 AM,NARCOTICS,SCHOOL,False,False
100479,JC100479,04/13/2016 03:33:00 AM,ASSAULT,RESIDENCE,True,False
100480,JC100480,01/17/2016 04:50:00 AM,BATTERY,RESIDENCE,False,False
100481,JC100481,06/05/2018 08:11:00 PM,BATTERY,STREET,True,False
100482,JC100482,03/07/2017 12:56:00 PM,NARCOTICS,SIDEWALK,False,True
100483,JC100483,07/16/2018 02:42:00 AM,BATTERY,PARKING LOT,False,False
100484,JC100484,06/05/2015 11:39:00 PM,ASSAULT,STREET,True,False
100485,JC100485,01/01/2016 10:42:00 PM,NARCOTICS,RESIDENCE,True,False
100486,JC100486,11/19/2017 09:20:00 AM,MOTOR VEHICLE THEFT,STREET,False,True
100487,JC100487,06/13/2016 03:41:00 PM,THEFT,RESIDENCE,True,False
100488,JC100488,09/30/2018 01:22:00 PM,CRIMINAL DAMAGE,PARKING LOT,False,False
100489,JC100489,08/16/2015 12:34:00 AM,MOTOR VEHICLE THEFT,SCHOOL,True,False
100490,JC100490,06/12/2016 11:50:00 AM,MOTOR VEHICLE THEFT,SCHOOL,False,False
100491,JC100491,07/15/2016 10:29:00 AM,MOTOR VEHICLE THEFT,SIDEWALK,False,False
100492,JC100492,03/18/2018 10:31:00 PM,MOTOR VEHICLE THEFT,RESIDENCE,True,True
100493,JC100493,05/30/2015 12:48:00 PM,THEFT,PARKING LOT,True,True
100494,JC100494,07/01/2018 11:29:00 PM,BATTERY,STREET,False,True
100495,JC100495,08/12/2019 07:07:00 PM,THEFT,STREET,True,True
100496,JC100496,01/25/2016 01:58:00 PM,MOTOR VEHICLE THEFT,PARKING LOT,True,True
100497,JC100497,06/16/2019 05:04:00 PM,NARCOTICS,APARTMENT,True,False
100498,JC100498,04/03/2018 12:30:00 AM,NARCOTICS,RESIDENCE,True,False
100499,JC100499,08/05/2015 11:56:00 AM,CRIMINAL DAMAGE,RESIDENCE,True,False
100500,JC100500,12/25/2015 04:48:00 AM,CRIMINAL DAMAGE,STREET,False,False
100501,JC100501,05/30/2017 01:57:00 PM,BURGLARY,SIDEWALK,False,False
100502,JC100502,07/18/2018 07:51:00 AM,NARCOTICS,APARTMENT,False,False
100503,JC100503,07/25/2018 11:15:00 PM,BATTERY,SCHOOL,False,True
100504,JC100504,04/10/2016 11:14:00 AM,BURGLARY,APARTMENT,True,True
100505,JC100505,06/30/2015 08:34:00 PM,MOTOR VEHICLE THEFT,RESIDENCE,False,False
100506,JC100506,07/06/2018 01:11:00 AM,THEFT,RESIDENCE,True,True
100507,JC100507,02/19/2017 12:03:00 AM,CRIMINAL DAMAGE,RESIDENCE,False,True
100508,JC100508,08/27/2017 12:13:00 PM,MOTOR VEHICLE THEFT,PARKING LOT,True,True
100509,JC100509,09/29/2019 10:48:00 AM,BURGLARY,PARKING LOT,False,False
100510,JC100510,10/29/2016 10:38:00 PM,CRIMINAL DAMAGE,SIDEWALK,True,True
100511,JC100511,12/12/2016 01:07:00 PM,MOTOR VEHICLE THEFT,APARTMENT,True,False
100512,JC100512,11/13/2018 12:56:00 PM,BURGLARY,APARTMENT,False,False
100513,JC100513,01/11/2015 06:13:00 AM,NARCOTICS,SIDEWALK,False,False
100514,JC100514,03/19/2017 01:38:00 PM,ROBBERY,SIDEWALK,True,True
100515,JC100515,01/29/2018 09:09:00 PM,NARCOTICS,SCHOOL,True,True
100516,JC100516,11/23/2018 05:19:00 PM,ASSAULT,PARKING LOT,False,True
100517,JC100517,07/22/2018 06:02:00 AM,NARCOTICS,STREET,True,True
100518,JC100518,09/12/2018 03:36:00 PM,BATTERY,RESIDENCE,True,False
100519,JC100519,04/12/2015 06:05:00 AM,ASSAULT,APARTMENT,True,False
100520,JC100520,06/26/2016 02:22:00 PM,THEFT,SIDEWALK,False,True
100521,JC100521,02/15/2017 07:18:00 AM,CRIMINAL DAMAGE,SIDEWALK,False,True
100522,JC100522,03/06/2018 04:51:00 AM,MOTOR VEHICLE THEFT,STREET,True,False
100523,JC100523,10/02/2017 01:49:00 AM,BATTERY,APARTMENT,True,False
100524,JC100524,04/12/2016 04:44:00 PM,ASSAULT,SCHOOL,False,False
100525,JC100525,07/14/2019 09:15:00 AM,ROBBERY,APARTMENT,False,True
100526,JC100526,05/14/2016 07:39:00 PM,THEFT,STREET,False,True
100527,JC100527,07/14/2016 02:52:00 PM,NARCOTICS,RESIDENCE,False,True
100528,JC100528,08/30/2019 08:52:00 AM,ASSAULT,APARTMENT,False,True
100529,JC100529,01/19/2016 09:50:00 PM,MOTOR VEHICLE THEFT,STREET,True,True
100530,JC100530,02/19/2017 08:30:00 PM,THEFT,SIDEWALK,False,False
100531,JC100531,08/04/2015 05:55:00 AM,CRIMINAL DAMAGE,SCHOOL,False,True
100532,JC100532,05/31/2019 09:12:00 PM,THEFT,APARTMENT,True,True
100533,JC100533,11/29/2018 05:01:00 AM,NARCOTICS,APARTMENT,False,False
100534,JC100534,12/30/2016 06:39:00 AM,CRIMINAL DAMAGE,RESIDENCE,False,True
100535,JC100535,08/30/2015 01:17:00 AM,BURGLARY,RESIDENCE,True,False
100536,JC100536,08/02/2015 12:29:00 AM,ASSAULT,SCHOOL,True,True
100537,JC100537,12/01/2019 06:14:00 AM,MOTOR VEHICLE THEFT,PARKING LOT,True,True
100538,JC100538,07/31/2019 01:52:00 AM,BATTERY,SIDEWALK,True,True
100539,JC100539,05/03/2018 03:02:00 AM,NARCOTICS,SCHOOL,False,True
100540,JC100540,07/30/2019 05:02:00 PM,BATTERY,APARTMENT,True,False
100541,JC100541,02/10/2016 08:35:00 PM,THEFT,PARKING LOT,True,True
100542,JC100542,05/17/2016 04:13:00 AM,ASSAULT,SIDEWALK,False,False
100543,JC100543,04/08/2019 05:36:00 AM,BURGLARY,PARKING LOT,True,True
100544,JC100544,01/12/2019 09:51:00 AM,ROBBERY,APARTMENT,True,False
100545,JC100545,01/30/2019 11:18:00 AM,ASSAULT,PARKING LOT,False,True
100546,JC100546,02/06/2016 11:36:00 AM,NARCOTICS,PARKING LOT,True,False
100547,JC100547,09/28/2017 06:29:00 PM,ASSAULT,APARTMENT,True,True
100548,JC100548,11/25/2018 05:51:00 PM,THEFT,SCHOOL,True,True
100549,JC100549,02/10/2018 04:37:00 AM,ASSAULT,SIDEWALK,True,False
100550,JC100550,05/10/2018 08:17:00 AM,BATTERY,SIDEWALK,False,False
100551,JC100551,07/25/2016 07:14:00 AM,ROBBERY,APARTMENT,False,True
100552,JC100552,04/05/2015 08:15:00 PM,NARCOTICS,PARKING LOT,False,False
100553,JC100553,02/23/2017 01:20:00 AM,ASSAULT,PARKING LOT,True,False
100554,JC100554,05/16/2015 05:46:00 AM,BURGLARY,STREET,False,False
100555,JC100555,08/21/2015 11:25:00 AM,ROBBERY,SIDEWALK,False,False
100556,JC100556,05/31/2015 04:02:00 PM,ROBBERY,SIDEWALK,True,True
100557,JC100557,03/09/2016 11:23:00 AM,MOTOR VEHICLE THEFT,STREET,True,True
100558,JC100558,08/07/2017 03:45:00 AM,ROBBERY,SIDEWALK,True,True
100559,JC100559,11/24/2016 01:06:00 AM,CRIMINAL DAMAGE,SIDEWALK,True,False
100560,JC100560,07/20/2016 05:55:00 AM,BATTERY,PARKING LOT,True,False
100561,JC100561,02/12/2018 02:40:00 AM,MOTOR VEHICLE THEFT,STREET,False,True
100562,JC100562,11/13/2017 04:06:00 PM,ASSAULT,SCHOOL,False,True
100563,JC100563,07/15/2017 09:51:00 PM,MOTOR VEHICLE THEFT,RESIDENCE,False,False
100564,JC100564,04/26/2017 08:34:00 AM,MOTOR VEHICLE THEFT,PARKING LOT,True,True
100565,JC100565,11/23/2015 04:03:00 PM,BATTERY,SIDEWALK,True,False
100566,JC100566,09/10/2019 05:51:00 PM,NARCOTICS,PARKING LOT,True,True
100567,JC100567,02/13/2016 04:06:00 AM,THEFT,PARKING LOT,False,True
100568,JC100568,11/24/2016 09:59:00 PM,BATTERY,SIDEWALK,True,False
100569,JC100569,06/28/2017 10:04:00 PM,BURGLARY,APARTMENT,True,True
100570,JC100570,06/16/2015 10:06:00 AM,BATTERY,APARTMENT,True,False
100571,JC100571,11/20/2018 08:20:00 PM,MOTOR VEHICLE THEFT,SIDEWALK,False,True
100572,JC100572,06/03/2017 07:05:00 PM,ROBBERY,APARTMENT,True,False
100573,JC100573,02/19/2015 10:53:00 PM,CRIMINAL DAMAGE,STREET,False,True
100574,JC100574,04/29/2017 06:09:00 PM,THEFT,PARKING LOT,False,False
100575,JC100575,09/25/2016 03:20:00 AM,BATTERY,PARKING LOT,False,False
100576,JC100576,05/06/2015 07:18:00 AM,BURGLARY,APARTMENT,True,False
100577,JC100577,08/31/2017 10:35:00 AM,THEFT,SCHOOL,True,False
100578,JC100578,01/24/2019 11:05:00 AM,MOTOR VEHICLE THEFT,STREET,False,False
100579,JC100579,05/19/2017 10:24:00 PM,CRIMINAL DAMAGE,SCHOOL,False,False
100580,JC100580,08/04/2017 12:51:00 AM,BATTERY,RESIDENCE,False,True
100581,JC100581,07/23/2018 03:55:00 AM,BATTERY,SCHOOL,False,False
100582,JC100582,01/06/2017 08:46:00 AM,ASSAULT,RESIDENCE,True,False
100583,JC100583,12/23/2015 10:42:00 AM,BURGLARY,SIDEWALK,False,False
100584,JC100584,06/03/2015 03:48:00 PM,THEFT,STREET,True,False
100585,JC100585,02/06/2016 02:30:00 AM,ROBBERY,APARTMENT,True,False
100586,JC100586,05/10/2016 05:17:00 AM,ROBBERY,PARKING LOT,False,True
100587,JC100587,01/07/2017 12:24:00 AM,BURGLARY,APARTMENT,True,True
100588,JC100588,09/05/2018 03:08:00 AM,MOTOR VEHICLE THEFT,RESIDENCE,True,False
100589,JC100589,07/08/2017 02:20:00 PM,ROBBERY,RESIDENCE,False,False
100590,JC100590,10/28/2017 05:26:00 PM,ASSAULT,RESIDENCE,False,False
100591,JC100591,12/29/2017 10:20:00 AM,ASSAULT,SIDEWALK,True,False
100592,JC100592,08/11/2018 05:59:00 PM,ASSAULT,SCHOOL,False,True
100593,JC100593,05/22/2019 03:01:00 PM,MOTOR VEHICLE THEFT,RESIDENCE,False,False
100594,JC100594,05/17/2019 01:25:00 PM,THEFT,RESIDENCE,False,True
100595,JC100595,01/27/2018 10:49:00 PM,CRIMINAL DAMAGE,SIDEWALK,False,True
100596,JC100596,12/01/2017 04:25:00 AM,BATTERY,SCHOOL,False,False
100597,JC100597,03/07/2015 09:26:00 AM,CRIMINAL DAMAGE,RESIDENCE,False,False
100598,JC100598,05/01/2018 09:44:00 AM,BURGLARY,PARKING LOT,True,False
100599,JC100599,12/31/2017 07:59:00 AM,ASSAULT,SCHOOL,False,True
100600,JC100600,11/23/2018 10:01:00 AM,BATTERY,SIDEWALK,False,False
100601,JC100601,09/27/2016 03:15:00 PM,ASSAULT,APARTMENT,True,False
100602,JC100602,04/11/2019 11:22:00 AM,THEFT,RESIDENCE,True,True
100603,JC100603,07/11/2015 03:34:00 PM,MOTOR VEHICLE THEFT,PARKING LOT,True,True
100604,JC100604,06/17/2016 10:39:00 PM,NARCOTICS,PARKING LOT,True,True
100605,JC100605,10/25/2017 11:15:00 PM,CRIMINAL DAMAGE,SCHOOL,True,False
100606,JC100606,10/09/2015 06:11:00 PM,CRIMINAL DAMAGE,RESIDENCE,False,False
100607,JC100607,04/15/2018 02:53:00 PM,NARCOTICS,SIDEWALK,True,True
100608,JC100608,05/24/2016 09:15:00 AM,CRIMINAL DAMAGE,SIDEWALK,False,False
100609,JC100609,10/18/2017 11:42:00 PM,BATTERY,RESIDENCE,True,True
100610,JC100610,01/27/2015 08:41:00 PM,ROBBERY,APARTMENT,True,True
100611,JC100611,05/29/2015 06:57:00 PM,THEFT,PARKING LOT,True,False
100612,JC100612,07/22/2018 08:10:00 AM,NARCOTICS,APARTMENT,False,True
100613,JC100613,01/17/2017 07:52:00 PM,CRIMINAL DAMAGE,APARTMENT,True,False
100614,JC100614,04/02/2015 11:20:00 PM,BURGLARY,RESIDENCE,True,True
100615,JC100615,09/28/2017 08:48:00 AM,MOTOR VEHICLE THEFT,RESIDENCE,True,True
100616,JC100616,01/25/2017 10:32:00 AM,BURGLARY,RESIDENCE,False,True
100617,JC100617,10/20/2015 05:29:00 AM,BURGLARY,SCHOOL,False,False
100618,JC100618,10/01/2019 01:00:00 AM,ROBBERY,STREET,True,False
100619,JC100619,12/15/2018 07:07:00 AM,BATTERY,SCHOOL,False,False
100620,JC100620,12/18/2016 08:26:00 PM,NARCOTICS,PARKING LOT,True,True
100621,JC100621,01/05/2017 07:02:00 PM,NARCOTICS,STREET,True,False
100622,JC100622,04/12/2019 08:58:00 PM,BATTERY,SCHOOL,False,True
100623,JC100623,11/27/2016 03:34:00 PM,CRIMINAL DAMAGE,PARKING LOT,False,True
100624,JC100624,04/10/2018 04:16:00 PM,NARCOTICS,APARTMENT,True,True
100625,JC100625,04/22/2015 02:01:00 AM,ASSAULT,STREET,False,False
100626,JC100626,02/01/2017 03:36:00 AM,THEFT,SCHOOL,False,True
100627,JC100627,10/24/2017 05:41:00 AM,THEFT,RESIDENCE,True,False
100628,JC100628,08/24/2015 08:33:00 AM,CRIMINAL DAMAGE,SCHOOL,False,True
100629,JC100629,01/20/2018 04:07:00 AM,ASSAULT,APARTMENT,False,False
100630,JC100630,12/01/2019 04:49:00 PM,BATTERY,SCHOOL,True,False
100631,JC100631,03/16/2019 02:12:00 PM,NARCOTICS,SIDEWALK,True,True
100632,JC100632,07/07/2019 03:35:00 AM,NARCOTICS,APARTMENT,True,False
100633,JC100633,10/22/2018 09:27:00 AM,CRIMINAL DAMAGE,SIDEWALK,False,False
100634,JC100634,12/09/2015 04:26:00 PM,MOTOR VEHICLE THEFT,STREET,True,False
100635,JC100635,01/19/2019 02:46:00 AM,ROBBERY,STREET,False,True
100636,JC100636,08/03/2015 07:42:00 AM,ROBBERY,SCHOOL,True,True
